,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a breeze,104,0.01,,beast,0.01,blast,0.08,blessing,0.04,blowout,0.01,cap,0.01,cat,0.01,challenge,0.01,chance,0.01,cinch,0.02,circus,0.01,date,0.01,day,0.01,deal,0.02,delight,0.01,dog,0.01,doozy,0.01,dream,0.03,failure,0.01,farce,0.02,fight,0.01,game,0.01,gas,0.02,goal,0.02,goner,0.01,great,0.01,hassle,0.02,job,0.01,joke,0.01,joy,0.01,keeper,0.01,lark,0.02,laugh,0.01,loss,0.01,match,0.01,mess,0.02,miracle,0.02,mistake,0.01,pain,0.02,party,0.02,pleasure,0.02,problem,0.03,relief,0.01,ride,0.01,riot,0.01,ruse,0.01,saint,0.01,shame,0.05,sight,0.01,sin,0.01,situation,0.01,steal,0.01,story,0.02,success,0.01,summer,0.01,surprise,0.04,test,0.01,tie,0.01,toss-up,0.01,trap,0.01,travesty,0.01,treat,0.01,trip,0.01,war,0.01,while,0.01,win,0.01,winner,0.04,,,,,,,,,,,,,,,,,,
Be a bumpy ride,107,0.55,,night,0.01,potato,0.01,road,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a bundle of nerves,108,0.32,,cash,0.01,energy,0.02,joy,0.55,kind,0.01,laughs,0.01,nervousness,0.01,sticks,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a busy bee,106,0.52,,beaver,0.09,bird,0.01,body,0.15,girl,0.02,job,0.01,lady,0.02,man,0.01,mom,0.01,person,0.05,today,0.01,woman,0.03,mom,0.01,shopping,0.01,with,0.01,woman,0.04,worker,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a can of worms,109,0.68,,air,0.01,beans,0.06,beer,0.01,coke,0.01,corn,0.04,food,0.01,milk,0.02,pain,0.01,paint,0.01,peas,0.02,sauce,0.01,soda,0.02,soup,0.05,spray,0.01,tomatoes,0.02,tuna,0.02,whoop-ass,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a carbon copy,108,0.61,,atom,0.01,bar,0.01,base,0.01,bomb,0.01,bow,0.01,diamond,0.01,dioxide,0.06,fiber,0.03,filter,0.02,fire,0.01,footprint,0.09,happy,0.01,issue,0.02,magnet,0.01,meter,0.01,monoxide,0.01,paper,0.01,print,0.01,rock,0.01,spine,0.01,spot,0.01,tax,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a Catch 22,111,0.75,,affair,0.01,all,0.06,ball,0.01,can,0.02,fire,0.01,phase,0.01,phrase,0.05,release,0.01,thing,0.01,touchdown,0.01,twelve,0.01,twenty,0.01,twenty-one,0.02,up,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a cheap shot,111,0.23,,act,0.01,affair,0.01,bastard,0.01,computer,0.01,container,0.01,date,0.20,deal,0.03,dinner,0.01,dress,0.01,game,0.01,gift,0.02,goal,0.01,guess,0.01,imitation,0.02,investment,0.01,knock-off,0.01,move,0.01,plastic,0.01,price,0.01,product,0.01,read,0.01,replica,0.01,shirt,0.01,skate,0.01,stunt,0.01,suit,0.01,thrill,0.12,ticket,0.01,trick,0.16,watch,0.02,wine,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a chink in someone's armor,108,0.62,,arm,0.01,car,0.01,chain,0.13,cheeks,0.01,chin,0.01,cup,0.01,door,0.01,dress,0.01,drink,0.01,eye,0.01,fist,0.01,game,0.01,glass,0.02,hair,0.01,heart,0.01,life,0.02,mind,0.02,mouth,0.01,neck,0.03,plan,0.01,purse,0.01,shoulder,0.01,side,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a chip off the old block,107,0.95,,man,0.01,shoulder,0.03,tree,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a class act,109,0.55,,alone,0.01,assistant,0.01,clown,0.41,favorite,0.01,play,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a close call,111,0.89,,encounter,0.01,friend,0.01,game,0.01,match,0.01,race,0.04,second,0.03,shave,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a cog in the machine,108,0.46,,alley,0.01,bog,0.01,clock,0.01,dark,0.01,fog,0.04,gears,0.01,group,0.01,gutter,0.01,hog,0.01,log,0.01,mill,0.01,mouth,0.01,plan,0.01,sand,0.01,ship,0.01,system,0.01,well,0.01,wheel,0.34,works,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a conversation piece,102,0.15,,class,0.01,deep,0.01,fun,0.01,killer,0.05,lag,0.01,lost,0.02,lull,0.01,mess,0.01,message,0.01,question,0.01,starter,0.63,stopper,0.05,today,0.01,topic,0.01,unwanted,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a couch potato,111,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a creature of habit,107,0.73,,beauty,0.01,comfort,0.02,curiosity,0.01,darkness,0.01,destiny,0.01,dignity,0.01,disquise,0.01,Evil,0.01,god,0.02,love,0.01,lust,0.01,man,0.01,nature,0.03,night/nights,0.06,pleasure,0.01,science,0.02,time,0.02,virtue,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a dark horse,110,0.44,,boy,0.01,cloud,0.01,entity,0.01,figure,0.01,force,0.01,guy,0.01,haired,0.01,knight,0.09,lord,0.01,man,0.12,master,0.01,night,0.02,one,0.01,passenger,0.01,person,0.06,revelation,0.01,soul,0.09,shadow,0.02,spirit,0.01,stranger,0.03,sword,0.01,thinker,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a dead ringer,108,0.39,,animal,0.02,beat,0.02,case,0.02,dog,0.04,duck,0.06,fish,0.07,giveaway,0.04,horse,0.07,last,0.02,man,0.09,mouse,0.02,on,0.04,person,0.06,pigeon,0.02,weight,0.02,woman,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a different animal,110,0.03,,age,0.01,ballgame,0.01,bird,0.02,breed,0.05,cat,0.02,color,0.03,day,0.02,drummer,0.01,feel,0.01,game,0.03,kind,0.05,man,0.06,person,0.21,place,0.01,scene,0.01,song,0.01,sort,0.01,species,0.01,story,0.11,stroke,0.01,time,0.17,type,0.02,universe,0.01,way,0.01,world,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a done deal,111,0.85,,already,0.02,before,0.01,clearly,0.01,dead,0.01,deed,0.02,easy,0.01,job,0.03,now,0.01,over,0.01,quickly,0.01,right,0.01,story,0.01,well,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a double whammy,109,0.14,,agent,0.01,back,0.01,cross,0.06,bed,0.01,dare,0.06,date,0.04,decker,0.03,dip,0.01,dose,0.02,dutch,0.01,edged-sword,0.01,entendre,0.10,espresso,0.01,feature,0.01,header,0.06,hit,0.02,hitter,0.03,jeopardy,0.02,loss,0.01,murder,0.01,negative,0.01,play,0.04,rainbow,0.01,shot,0.02,situation,0.01,slam,0.01,standard,0.07,t,0.01,tag,0.01,take,0.11,task,0.01,threat,0.02,trouble,0.03,vodka,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a double-edged sword,110,0.91,,blade,0.04,dagger,0.01,knife,0.03,rock,0.01,ruler,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a drag,108,0.00,,angel,0.01,beauty,0.03,bitch,0.05,blast,0.01,blonde,0.01,bomb,0.01,catch,0.01,character,0.01,charmer,0.01,comedian,0.01,dancer,0.01,delight,0.01,doctor,0.01,doll,0.04,fighter,0.01,fool,0.01,friend,0.03,genius,0.02,girl,0.06,glutton,0.01,goddess,0.01,golddigger,0.01,good,0.01,he,0.01,hero,0.01,hooker,0.01,jerk,0.02,joker,0.01,keeper,0.02,klutz,0.01,lady,0.05,leader,0.01,looker,0.04,loser,0.01,lover,0.01,man,0.01,man-eater,0.01,martyr,0.01,mom,0.01,monster,0.01,pain,0.02,painter,0.01,parrot,0.01,peach,0.02,princess,0.02,prize,0.02,punk,0.01,queen,0.02,redhead,0.01,savant,0.01,skunk,0.01,soldier,0.01,spitfire,0.01,spy,0.01,star,0.06,stranger,0.01,student,0.01,swinger,0.01,villian,0.01,virgin,0.01,vixen,0.01,wench,0.01,whore,0.02,winner,0.03,witch,0.01,woman,0.03,wreck,0.01,,,,,,,,,,,,,,,,
Be a drop in the ocean,107,0.09,,bag,0.02,bank,0.01,bass,0.01,box,0.01,bucket,0.67,dime,0.01,dish,0.01,ground,0.01,hat,0.03,line,0.01,pail,0.02,pan,0.01,pond,0.03,pot,0.01,ranks,0.01,sky,0.01,trash,0.01,water,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a fallen angel,105,0.62,,apple,0.01,asleep,0.01,ball,0.01,bellow,0.01,bird,0.02,down,0.01,hard,0.01,hero,0.10,idol,0.01,man,0.02,off,0.01,one,0.01,soldier,0.04,star,0.10,warrior,0.01,woman,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a false alarm,108,0.20,,accusation,0.09,advertising,0.01,alert,0.01,analogy,0.02,argument,0.01,assumption,0.01,beard,0.01,claim,0.03,flag,0.02,hope,0.03,identity,0.01,impression,0.01,lead,0.01,lie,0.01,notion,0.01,positive,0.18,premise,0.02,pretense,0.02,promise,0.01,prophet,0.02,question,0.01,reading,0.01,report,0.01,result,0.01,sense,0.01,start,0.12,statement,0.07,step,0.01,trail,0.01,truth,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a feather in one's cap,107,0.52,,arms,0.01,back,0.01,bag,0.01,behind,0.01,hair,0.06,hand,0.04,hat,0.29,head,0.01,pillow,0.02,pocket,0.01,soup,0.01,wing,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a flash in the pan,104,0.74,,computer,0.01,dark,0.07,eyes,0.01,light,0.02,mud,0.01,night,0.03,past,0.02,phone,0.01,picture,0.01,sky,0.02,storm,0.01,wind,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a glutton for punishment,110,0.81,,cake/cakes,0.03,chocolate,0.03,donuts,0.01,food,0.02,free,0.01,luck,0.01,mutton,0.01,pain,0.01,pie,0.02,pizza,0.03,riches,0.01,steak,0.01,trouble,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a guinea pig,108,0.96,,book,0.01,bottle,0.01,girl,0.01,hen,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a happy medium,104,0.00,,accident,0.03,birthday,0.02,camper,0.01,child,0.02,clam,0.01,coincidence,0.02,day,0.48,days,0.01,ending,0.12,event,0.01,man,0.01,moment,0.06,occasion,0.05,reunion,0.01,saturnalia,0.01,Sunday,0.01,time,0.13,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a hard act to follow,108,0.90,,calm,0.01,cool,0.01,crack,0.01,deal,0.01,fast,0.01,find,0.01,good,0.01,nice,0.01,read,0.01,swallow,0.01,that,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a hard sell,110,0.12,,ball,0.01,bargain,0.07,blow,0.02,call,0.02,case,0.01,choice,0.04,cock,0.01,day,0.21,deal,0.01,decision,0.02,drive,0.01,figure,0.01,fight,0.01,game,0.03,habit,0.01,job,0.03,journey,0.02,knock,0.03,life,0.05,night,0.03,one,0.01,pill,0.01,play,0.01,road,0.03,row,0.01,situation,0.01,task,0.02,thing,0.01,time,0.12,times,0.02,trial,0.01,week,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a household name,110,0.70,,charm,0.01,chore,0.01,disaster,0.01,dog,0.01,dream,0.01,item,0.03,manager,0.01,member,0.03,menace,0.01,mess,0.01,mother,0.01,occupant,0.01,pest,0.01,pet,0.01,provider,0.01,queen,0.01,servant,0.02,staple,0.01,warrior,0.01,whore,0.01,wife,0.02,wiz,0.01,word,0.02,worker,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a jack of all trades,106,0.98,,spades,0.01,traits,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a knight in shining armor,107,0.98,,sky,0.01,way,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a ladies' man,110,0.97,,night,0.02,prerogative,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a lost cause,106,0.65,,boy,0.01,cat,0.01,child,0.01,cookie,0.01,dog,0.01,lamb,0.01,puppy,0.04,sheep,0.02,soul,0.23,wolf,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a mamma's boy,107,0.97,,day,0.01,girl,0.01,son,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a melting pot,106,0.81,,chocolate,0.01,clock,0.01,down,0.01,feast,0.01,hot,0.01,ice,0.03,mess,0.01,point,0.04,quick,0.01,scene,0.01,snow,0.01,snowman,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
