dependency,frequency1,frequency2,norm1,norm2,rank1,rank2,samples1,samples2
( NN dep NN ) ( NN nmod NN ) ( NN case IN ),8.0,1.0,0.00300751879699,0.00114942528736,21,21,"A voice that cracks with emotion

Shoulders that curl over the chest

A flush that creeps across the cheeks

The body freezing in place

Shoulders curling over chest

Eyes prickling with tears

Arms hanging at the sides

Breaths that catch in the chest
","Strike a chord with someone
"
( NN amod JJ ) ( NN compound NN ),8.0,1.0,0.00300751879699,0.00114942528736,21,21,"Jerky head movements

Rigid body posture

Lethargic hand movements

Fluttery hand movements

Strong eye contact

Excessive safety precautions

Positive self thoughts

Full body tremors
","Blow something sky-high
"
( VBN nsubj NN ),7.0,1.0,0.00263157894737,0.00114942528736,22,21,"A darting gaze

A herky-jerky walk

An unfocused gaze

A wandering gaze

A longing gaze

An unhurried walk

A heavy-footed walk
","Face the music
"
( NN nmod:poss NNP ) ( NNP nummod CD ) ( NNP case POS ),7.0,14.0,0.00263157894737,0.016091954023,22,9,"Holding one's sides

Baring one's teeth

Rolling one's shoulders

Holding one's stomach

Raising one's voice

Covering one's ears

Holding one's breath
","Bare one's soul

Bite one's tongue

Broaden one's horizons

Catch one's breath

Cross one's fingers

Drown one's sorrows

Flex one's muscles

Know one's place

Lose one's cool

Lost one's edge

Swallow one's pride

Waste one's breath

Watch one's mouth

Zip one's lip
"
( VB dobj NN ) ( NN amod JJ ),5.0,29.0,0.00187969924812,0.0333333333333,24,4,"Offering witty commentary

Muscles losing tension

Downturned facial features

Polite verbal opposition

Offering the bright side
","Be/get a rude awakening

Come full circle

Do a double take

Drive a hard bargain

Extend the olive branch

Fight a losing battle

Get the upper hand

Give a back-handed compliment

Go cold turkey

Go the extra mile

Have a clean break

Have a hidden agenda

Have a knee-jerk reaction

Have a one-track mind

Have a silver lining

Have a sneaking suspicion

Have a sweet tooth

Have a thick skin

Have the last laugh

Hit the hard stuff

Keep a low profile

Keep a straight face

Keep an open mind

Live a charmed life

Make the first move

Need fresh blood

Reach the boiling point

Share common ground

Win brownie points
"
( NN cc CC ) ( NN conj NN ),5.0,1.0,0.00187969924812,0.00114942528736,24,21,"Hemming and hawing

A smirk or sneer

Criticism and belittlement

Sneaking or spying

Speechlessness or incoherence
","Sink or swim
"
( VB dobj NN ) ( NN compound NN ),5.0,12.0,0.00187969924812,0.0137931034483,24,10,"Open body posture

Offering a firm handshake

Visible vein throb

Raised body temperature

Crumpled body posture
","Burn the midnight oil

Do something justice

Get the ball rolling

Have a fighting chance

Have an attitude problem

Hear a pin drop

Hit a glass ceiling

Hit rock bottom

Keep someone guessing

Kiss something goodbye

Let something slide

Send someone packing
"
,4.0,2.0,0.0015037593985,0.00229885057471,25,20,"Gratitude to those who helped make this possible

Responding with Whatever or So?

A smirk

A probing gaze
","Go all out

Hold all of the cards
"
( NNP cc CC ) ( NNP conj NN ) ( NN amod JJ ),4.0,1.0,0.0015037593985,0.00114942528736,25,21,"Wet or red eyes

Excessive or manic energy

Heavy or sluggish heartbeat

Hot or gummy eyelids
","Wine and dine someone
"
( NN dep NN ) ( NN cc CC ) ( NN conj NN ),4.0,1.0,0.0015037593985,0.00114942528736,25,21,"Closing the eyes and sighing

Eyes that sparkle and gleam

Hands that clench and unclench

Breaths that catch or hitch
","Cost an arm and a leg
"
( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),4.0,1.0,0.0015037593985,0.00114942528736,25,21,"A tingling in one's chest

A gleam in one's eye

A preoccupation with one's appearance

Tenseness in one's stomach
","Quake in one's boots
"
( VB dobj NN ) ( VB advmod RB ),3.0,3.0,0.00112781954887,0.00344827586207,26,19,"Eyebrows that squish together

Lips parting slightly

Baring the teeth slightly
","Get something straight

Knock heads together

Meet someone halfway
"
( VB xcomp JJ ),3.0,2.0,0.00112781954887,0.00229885057471,26,20,"Lip biting

Stomach hardening

tie straightening
","Come clean

Go pear-shaped
"
( NN nmod NN ) ( NN case IN ) ( NN amod JJ ),3.0,2.0,0.00112781954887,0.00229885057471,26,20,"A snort of dismissive laughter

A release of all bodily tension

A rise in vocal pitch
","Fall into bad company

Fall on deaf ears
"
( NNP dep NN ),3.0,4.0,0.00112781954887,0.00459770114943,26,18,"Rolling the eyes

Clearing the throat

Rolling the neck
","Cross the line

Miss the boat

Miss the bus

Miss the point
"
( VBG xcomp JJ ) ( JJ nsubj PRP ),2.0,1.0,0.000751879699248,0.00114942528736,27,21,"Making oneself small

making oneself small
","Cutting it close
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),2.0,16.0,0.000751879699248,0.0183908045977,27,7,"Raising one's palms

Raising one's eyebrows
","Count one's blessings

Do one's homework

Hedge one's bets

Leave one's mark

Lick one's chops

Lick one's wounds

Lose one's marbles

Make one's bed

Meet one's match

Pay one's dues

Rack one's brain

Recharge one's batteries

Rest one's case

Spill one's guts

Spread one's wings

Stand one's ground
"
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ),2.0,15.0,0.000751879699248,0.0172413793103,27,8,"Walking out of the room

Leaning away from the source
","Come in from the cold

Come out of the woodwork

Come out on top

Fall apart at the seams

Get in on the act

Get out of hand

Go along for the ride

Go off on a tangent

Go out of the window

Go out on a limb

Go out with a bang

Go up in flames

Go up in smoke

Make out like a bandit

Stand out from the crowd
"
( NN amod JJ ) ( NN dep NN ),2.0,1.0,0.000751879699248,0.00114942528736,27,21,"a throbbing forehead vein

Giving someone the thumbs-up
","Teach someone the ropes
"
( VB dobj NN ) ( NN cc CC ) ( NN conj NN ),2.0,1.0,0.000751879699248,0.00114942528736,27,21,"Limp hands and arms

Decreased coordination and clumsiness
","Play cat and mouse
"
( NN nmod:poss NNP ) ( NNP compound NNP ) ( NNP case POS ),2.0,1.0,0.000751879699248,0.00114942528736,27,21,"A bobbing Adam's apple

A bobbing Adam's apple
","Play devil's advocate
"
( NNP nmod NN ) ( NN case IN ),1.0,5.0,0.000375939849624,0.00574712643678,28,17,"Holding in a breath
","Dry as a bone

Hang in the balance

Roll with the punches

Sleep like a baby

Stay on track
"
( NN nmod:poss NN ) ( NN amod JJ ) ( NN case POS ),1.0,10.0,0.000375939849624,0.0114942528736,28,12,"Rubbing someone's back
","Blow someone's cover

Burst someone's bubble

Catch someone's drift

Catch someone's eye

Cramp someone's style

Rattle someone's cage

Slip someone's mind

Steal someone's thunder

Twist someone's arm

Whet someone's appetite
"
( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),1.0,5.0,0.000375939849624,0.00574712643678,28,17,"Walking with wide steps
","Do in cold blood

Look at the big picture

Put on a brave face

Sell like hot cakes

Vanish into thin air
"
( VB dobj NN ) ( NN amod VBG ),1.0,1.0,0.000375939849624,0.00114942528736,28,21,"Soft head shaking
","Do a vanishing act
"
( VBG nmod PRP ) ( PRP case IN ),1.0,1.0,0.000375939849624,0.00114942528736,28,21,"Clutching at oneself
","Getting above oneself
"
( NNP compound NNP ) ( NNP compound NNP ),1.0,1.0,0.000375939849624,0.00114942528736,28,21,"Holding oneself tightly
","Run someone ragged
"
( NN nmod NN ) ( NN case IN ) ( NN compound NN ),1.0,1.0,0.000375939849624,0.00114942528736,28,21,"A lack of eye contact
","Lie through ones teeth
"
( VB dobj NN ) ( VB nmod NN ) ( NN case TO ),1.0,5.0,0.000375939849624,0.00574712643678,28,17,"Quiet answers to questions
","Bring something to the party

Mean the world to someone

Put something to bed

Throw caution to the wind

Throw someone to the dogs
"
( VB nmod NN ) ( NN case IN ),1.0,21.0,0.000375939849624,0.0241379310345,28,6,"Laughter with an edge
","Be/feel under the weather

Comes with the territory

Fit as a fiddle

Get into gear

Go against the grain

Go for the jugular

Go into overdrive

Go like clockwork

Go through the motions

Go through the roof

Go through the wringer

Go under the knife

Hit below the belt

Jump on the bandwagon

Jump through hoops

Read between the lines

Saved by the bell

Think outside the box

Walk on air

Walk on eggshells

Work like a charm
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),1.0,1.0,0.000375939849624,0.00114942528736,28,21,"Pallid skin from lack of sunlight
","Do something at the drop of a hat
"
( NN compound NN ) ( NN nmod NN ) ( NN case IN ),1.0,3.0,0.000375939849624,0.00344827586207,28,19,"Shooting glances at the suspect
","Fall head over heels

Rake someone over the coals

Score points with someone
"
( VB dobj NN ) ( NN nmod NN ) ( NN case IN ),1.0,15.0,0.000375939849624,0.0172413793103,28,8,"Declining an offer of support
","Carry a torch for someone

Cover a lot of ground

Get wind of something

Have a change of heart

Have a crack at something

Have a stab at something

Have something on the brain

Have the goods on someone

Make a beeline for something

Make a break for something

Scrape the bottom of the barrel

See the light of day

Stand the test of time

Take the rap for something

Want a piece of the action
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),1.0,42.0,0.000375939849624,0.048275862069,28,2,"Visible tension in the muscles
","Blow the lid off something

Bore the pants off someone

Bounce ideas off someone

Catch someone in the act

Catch someone off guard

Do battle with someone

Do something against the clock

Do something around the clock

Do something by the book

Do something from scratch

Do something on the spot

Drink someone under the table

Eat someone for breakfast

Fit someone like a glove

Get a handle on something

Get a slap on the wrist

Go hand in hand

Have something down pat

Hear something through the grapevine

Hit the nail on the head

Keep someone in the dark

Keep something at bay

Leave someone in the lurch

Let someone off the hook

Make no bones about something

Nip something in the bud

Open doors for someone

Place something on a pedestal

Play something by ear

Pull rank on someone

Put a damper on something

Put someone on the spot

Put something on the map

Read someone like a book

Run something into the ground

Shout something from the rooftops

Take something by storm

Take the edge off something

Throw someone off balance

Treat someone like dirt

Watch someone like a hawk

Write the book on something
"
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),1.0,1.0,0.000375939849624,0.00114942528736,28,21,"Hands up in a defensive stance
","Get off on the wrong foot
"
